episode,start,hour,n_treated,n_control,sp_treated,sp_control,dln_sp,hz_treated,hz_control,dln_f,episode_ratio,cum_dln_sp,cum_dln_f,running_beta
1,2026-05-18 12:00:00+07:00,12,3,8,0.423675,0.55,-0.26095162634708113,35.1832,37.2760875,-0.05778333932962208,0.2214331450564206,-0.26095162634708113,-0.05778333932962208,0.2214331450564206
2,2026-05-19 11:15:00+07:00,11,25,8,0.4361364,0.5485000000000001,-0.2292322412550454,33.153264,35.9751625,-0.0816875964656283,0.3563529982448765,-0.4901838676021265,-0.13947093579525038,0.28452779663580535
6,2026-05-25 07:30:00+07:00,8,13,5,0.4674871538461538,0.5486154000000001,-0.16002577961686454,33.84111538461539,38.48026,-0.1284688877983199,0.8028011993186441,-0.6502096472189911,-0.26793982359357027,0.412082202624299
7,2026-05-25 16:45:00+07:00,17,3,5,0.4633333333333333,0.5452,-0.1627059623657498,33.523566666666675,36.15692,-0.07561968081486173,0.46476281333117236,-0.812915609584741,-0.34355950440843197,0.42262628538272423
8,2026-05-26 07:45:00+07:00,8,26,6,0.47625642307692306,0.5443333333333333,-0.13360539117669898,33.76958076923077,38.07055,-0.11988059733661623,0.8972736525135343,-0.94652100076144,-0.4634401017450482,0.48962474300330194
9,2026-05-27 07:45:00+07:00,8,7,10,0.47161900000000007,0.5494,-0.15265531742952945,33.64847142857143,35.95745000000001,-0.06636866550515051,0.4347615702007131,-1.0991763181909695,-0.5298087672501987,0.4820052601953442
10,2026-05-28 07:45:00+07:00,8,5,10,0.41719999999999996,0.55,-0.2763525550998994,33.71132,33.98393,-0.00805407982515111,0.02914422058533028,-1.375528873290869,-0.5378628470753498,0.39102257867444523
11,2026-05-29 07:45:00+07:00,8,6,10,0.43855549999999993,0.55,-0.22643190657838705,33.63668333333333,33.39686,0.007155353712032486,-0.03160046576543495,-1.6019607798692561,-0.5307074933633174,0.3312861962866725
12,2026-06-08 07:45:00+07:00,8,5,9,0.4648,0.5457777777777778,-0.16060468695305757,33.7724,36.27133333333333,-0.07138381307786855,0.4444690527539399,-1.7625654668223136,-0.6020913064411859,0.34159940029159974
13,2026-06-08 15:30:00+07:00,16,8,8,0.4955,0.54925,-0.102986357494677,33.1274125,34.5264875,-0.0413656712453764,0.4016616593854623,-1.8655518243169906,-0.6434569776865623,0.3449150912342746
14,2026-06-09 07:45:00+07:00,8,5,5,0.42293339999999996,0.5452,-0.2539379799806603,34.11934,39.57464,-0.1483241301309359,0.5840958888553501,-2.119489804297651,-0.7917811078174982,0.37357155774565093
15,2026-06-09 11:15:00+07:00,11,10,4,0.484,0.5465,-0.12144940089996152,35.58299000000001,36.436675,-0.023708107662822733,0.1952097539151405,-2.2409392051976122,-0.8154892154803209,0.36390510442625273
20,2026-06-16 12:00:00+07:00,12,3,15,0.48,0.5489333333333334,-0.13419089732570344,35.294000000000004,36.322673333333334,-0.02872917819599435,0.21409185547261,-2.3751301025233156,-0.8442183936763152,0.3554409052284865
21,2026-06-17 07:45:00+07:00,8,14,6,0.4764897857142857,0.5493333333333333,-0.1422591350033631,34.6056,38.59171666666667,-0.10902214063595442,0.7663630221945119,-2.517389237526679,-0.9532405343122696,0.3786623538793005
22,2026-06-17 12:00:00+07:00,12,3,9,0.49733333333333335,0.5482222222222223,-0.09742022765748622,34.800000000000004,36.38462222222223,-0.04452883217571919,0.457079943728682,-2.614809465184165,-0.9977693664879889,0.3815839661639417
