episode,start_pos,end_pos,treated_start_pos,start,end,n_steps,n_treated,settling_dropped,level,baseline_level,direction,hour
1,0,4,2,2026-05-18 12:00:00+07:00,2026-05-18 13:00:00+07:00,5,3,2,0.423675,0.55,down,12
2,93,119,95,2026-05-19 11:15:00+07:00,2026-05-19 17:45:00+07:00,27,25,2,0.4361364,0.55,down,11
3,182,215,184,2026-05-20 09:30:00+07:00,2026-05-20 17:45:00+07:00,34,32,2,0.485,0.55,down,10
4,271,306,273,2026-05-21 07:45:00+07:00,2026-05-21 16:30:00+07:00,36,34,2,0.4543750882352941,0.55,down,8
5,367,407,369,2026-05-22 07:45:00+07:00,2026-05-22 17:45:00+07:00,41,39,2,0.47095666666666675,0.55,down,8
6,654,668,656,2026-05-25 07:30:00+07:00,2026-05-25 11:00:00+07:00,15,13,2,0.4674871538461538,0.55,down,8
7,691,695,693,2026-05-25 16:45:00+07:00,2026-05-25 17:45:00+07:00,5,3,2,0.4633333333333333,0.55,down,17
8,751,778,753,2026-05-26 07:45:00+07:00,2026-05-26 14:30:00+07:00,28,26,2,0.47625642307692306,0.55,down,8
9,847,855,849,2026-05-27 07:45:00+07:00,2026-05-27 09:45:00+07:00,9,7,2,0.47161900000000007,0.55,down,8
10,943,949,945,2026-05-28 07:45:00+07:00,2026-05-28 09:15:00+07:00,7,5,2,0.41719999999999996,0.55,down,8
11,1039,1046,1041,2026-05-29 07:45:00+07:00,2026-05-29 09:30:00+07:00,8,6,2,0.43855549999999993,0.55,down,8
12,1999,2005,2001,2026-06-08 07:45:00+07:00,2026-06-08 09:15:00+07:00,7,5,2,0.4648,0.55,down,8
13,2030,2039,2032,2026-06-08 15:30:00+07:00,2026-06-08 17:45:00+07:00,10,8,2,0.4955,0.55,down,16
14,2095,2101,2097,2026-06-09 07:45:00+07:00,2026-06-09 09:15:00+07:00,7,5,2,0.42293339999999996,0.55,down,8
15,2109,2120,2111,2026-06-09 11:15:00+07:00,2026-06-09 14:00:00+07:00,12,10,2,0.484,0.55,down,11
16,2122,2135,2124,2026-06-09 14:30:00+07:00,2026-06-09 17:45:00+07:00,14,12,2,0.4905,0.55,down,15
17,2189,2231,2191,2026-06-10 07:15:00+07:00,2026-06-10 17:45:00+07:00,43,41,2,0.43,0.55,down,7
18,2285,2321,2287,2026-06-11 07:15:00+07:00,2026-06-11 16:15:00+07:00,37,35,2,0.4307912,0.55,down,7
19,2383,2423,2385,2026-06-12 07:45:00+07:00,2026-06-12 17:45:00+07:00,41,39,2,0.473948717948718,0.55,down,8
20,2784,2788,2786,2026-06-16 12:00:00+07:00,2026-06-16 13:00:00+07:00,5,3,2,0.48,0.55,down,12
21,2863,2878,2865,2026-06-17 07:45:00+07:00,2026-06-17 11:30:00+07:00,16,14,2,0.4764897857142857,0.55,down,8
22,2880,2884,2882,2026-06-17 12:00:00+07:00,2026-06-17 13:00:00+07:00,5,3,2,0.49733333333333335,0.55,down,12
