episode,start,hour,n_treated,n_control,ahu_b8_2__static_pressure_setpoint_read__treated,ahu_b8_2__static_pressure_setpoint_read__control,ahu_b8_2__static_pressure_setpoint_read__dln,ahu_b8_2__frequency__treated,ahu_b8_2__frequency__control,ahu_b8_2__frequency__dln,ahu_b8_2__power__treated,ahu_b8_2__power__control,ahu_b8_2__power__dln
1,2026-05-25 07:30:00+07:00,8,3,11,0.46488900000000005,0.5999999999999999,-0.255130987801899,34.42043333333333,37.08745454545454,-0.0746283797294988,2.74889,3.982422727272727,-0.37069316571181454
2,2026-05-29 08:00:00+07:00,8,3,11,0.4226666666666667,0.5990909090909089,-0.3488295083691204,32.423300000000005,33.42629727272727,-0.030465633538688214,2.322223333333333,3.18121,-0.31473656746044526
3,2026-06-02 07:00:00+07:00,7,3,11,0.449778,0.5999999999999999,-0.2881755275140399,34.00376666666667,36.74679090909091,-0.07757959685067427,2.62222,3.8351509090909093,-0.3801874972876794
4,2026-06-11 10:30:00+07:00,11,23,11,0.7718394782608695,0.5999999999999999,0.25184694347435044,36.395869565217396,32.77026363636364,0.10493378699039875,3.0674530434782605,2.4208818181818184,0.23671572826225093
5,2026-06-12 07:45:00+07:00,8,4,10,0.4309615,0.5999999999999999,-0.33091089624847714,33.045375,32.921020000000006,0.0037702574866241055,2.4375,2.8983510000000003,-0.17316903068685366
6,2026-06-19 07:45:00+07:00,8,4,10,0.44466675,0.5999999999999999,-0.2996045300024076,33.631975,35.84174,-0.06363588468081509,2.5283349999999998,3.502666,-0.3259634094960398
7,2026-06-29 07:30:00+07:00,8,3,10,0.41615399999999997,0.5986153999999999,-0.3635639377186066,32.93573333333334,35.53685,-0.0760119983472576,2.4582433333333333,3.6511550000000006,-0.39559655317639386
8,2026-06-30 07:45:00+07:00,8,3,10,0.4157693333333334,0.5993077,-0.3656445364077344,33.1436,38.234880000000004,-0.14289855185266803,2.432053333333333,3.812829,-0.4496355396042639
9,2026-07-01 07:45:00+07:00,8,4,10,0.44961525,0.5999999999999999,-0.2885374381727565,32.337475,36.94919,-0.13331695122277123,2.3288475,3.5784469999999997,-0.42955539739983783
10,2026-07-02 07:45:00+07:00,8,3,9,0.432,0.6,-0.3285040669720361,33.9869,38.85437777777778,-0.1338455983242984,2.60889,3.836495555555555,-0.38563449065364935
11,2026-07-03 07:45:00+07:00,8,3,10,0.416,0.5999999999999999,-0.36624439495488287,33.6822,34.407849999999996,-0.021315228114734845,2.526666666666667,3.2913319999999997,-0.2643914350779943
12,2026-07-06 07:30:00+07:00,8,4,11,0.44316675,0.598,-0.29964464389506784,32.234325,34.00684545454545,-0.05352996267774459,2.2916675,3.22303,-0.3410421923672032
13,2026-07-07 07:45:00+07:00,8,3,10,0.42333333333333334,0.5997999999999999,-0.3484363755303813,33.744,38.33333,-0.12751712900219603,2.544443333333333,3.8513329999999995,-0.4145074255981912
14,2026-07-08 07:45:00+07:00,8,3,10,0.4537776666666667,0.5988,-0.27732029545514875,34.79579999999999,38.88233999999999,-0.11104347312469409,2.8200033333333336,4.068001,-0.36641365702490486
15,2026-07-09 07:45:00+07:00,8,4,9,0.44083324999999995,0.5986666666666666,-0.3060382741656252,32.707674999999995,35.18978888888889,-0.07314619229306997,2.3616675,3.0533311111111114,-0.25686522488300384
16,2026-07-10 07:45:00+07:00,8,3,9,0.46711100000000005,0.6,-0.25036273842424867,35.711999999999996,38.42317777777778,-0.07317409871185028,2.92222,3.7155255555555553,-0.24017653529406924
17,2026-07-17 08:00:00+07:00,8,3,11,0.436,0.5994545454545454,-0.31837790748427136,32.61756666666667,36.129220909090904,-0.10225098333299967,2.3644466666666664,3.686666363636364,-0.4441785982433844
18,2026-07-22 07:45:00+07:00,8,3,10,0.4326666666666667,0.5988,-0.3249600439495477,34.38666666666666,37.9934,-0.09974356808597602,2.67111,3.8860010000000003,-0.3748864919319116
19,2026-07-23 07:45:00+07:00,8,3,10,0.4206666666666667,0.5999999999999999,-0.35508890078309724,35.460433333333334,36.51820299999999,-0.029393327687985814,2.8977799999999996,3.838666,-0.2811799838172867
20,2026-07-24 07:45:00+07:00,8,3,10,0.441282,0.5999999999999999,-0.30724552835171914,36.1191,36.259100000000004,-0.003868572984727996,3.02436,3.6654779999999993,-0.19225925090306525
21,2026-07-30 08:00:00+07:00,8,4,9,0.42883325000000005,0.6,-0.3358615064881658,32.877175,34.23722222222222,-0.04053477328986849,2.415,3.6476188888888887,-0.4123753084024847
22,2026-08-07 07:45:00+07:00,8,3,10,0.412,0.5999999999999999,-0.3759063058666198,34.32976666666667,36.834230000000005,-0.07041476521467634,2.6199966666666668,3.8985640000000004,-0.3974352346956779
23,2026-08-10 07:30:00+07:00,8,3,11,0.41733333333333333,0.5999999999999999,-0.36304439222421203,33.74023333333333,39.52885181818181,-0.15833983832951995,2.5555566666666665,4.568888181818181,-0.5809998156775401
24,2026-08-11 07:45:00+07:00,8,3,10,0.43,0.5999999999999999,-0.3331444465285381,34.23866666666667,39.181529999999995,-0.13484985258457047,2.6355566666666665,4.147997999999999,-0.4535313898287107
25,2026-08-14 07:45:00+07:00,8,3,10,0.4226666666666667,0.5999999999999999,-0.35034580888708455,35.333333333333336,37.70107,-0.06486167057011202,2.82889,4.127478,-0.37778215812903193
26,2026-08-17 07:30:00+07:00,8,4,11,0.424,0.5999999999999999,-0.34719619998418844,33.27165,36.61975454545455,-0.09588215344859058,2.503335,3.9046781818181815,-0.4445515251826047
27,2026-08-18 07:45:00+07:00,8,3,10,0.426,0.5987571,-0.34041666042302693,34.3289,37.926770000000005,-0.09966963019641462,2.6755566666666666,3.8914169999999997,-0.3746159002665886
28,2026-08-19 07:45:00+07:00,8,3,10,0.438,0.5983999999999999,-0.31204051628382123,33.31466666666666,36.69372,-0.09660788279068112,2.4844433333333336,3.4452859999999994,-0.32695829616428296
29,2026-08-20 08:00:00+07:00,8,3,11,0.45,0.5990909090909089,-0.28616577193381654,32.855133333333335,34.3537,-0.044601728991869045,2.393333333333333,3.1533336363636364,-0.2757730961020543
30,2026-08-21 07:45:00+07:00,8,4,10,0.44799999999999995,0.5997999999999999,-0.29180303389992346,32.39665,31.89165,0.015710802349958624,2.295,2.7340000000000004,-0.17503289478924955
