bin,n,f_mean,p_mean,p_median,p_sd,pred_offset_cubic_shipped,resid_offset_cubic_shipped,pred_offset_cubic_all,resid_offset_cubic_all,pred_ideal_cubic_all,resid_ideal_cubic_all,pred_power_law_shipped,resid_power_law_shipped
f == 0 (fan off),5733,0.0,0.0008308182626896913,0.0,0.025813775669837676,0.49604771303625744,-0.49521689477356773,0.5225844053233477,-0.521753587060658,0.0,0.0008308182626896913,5.5879497713321825e-14,0.0008308182626338118
"(0.0, 10.0]",21,9.115840952380953,2.1476187142857137,2.23333,0.4761381046888752,0.5372336879372225,1.6103850263484913,0.5639134804798487,1.583705233805865,0.0482490250120845,2.099369689273629,0.5063545742756503,1.6412641400100634
"(10.0, 20.0]",17,13.690623529411763,2.413324705882353,2.42,0.28212181137138365,0.6355652553555226,1.7777594505268302,0.6625866999401036,1.7507380059422493,0.1634436335469397,2.249881072335413,0.8594825256093642,1.5538421802729885
"(25.0, 30.0]",30,29.735523333333337,1.8206833333333334,1.9,0.12362438093240156,1.92555341377121,-0.1048700804378766,1.957056909237227,-0.13637357590389354,1.6746539683843213,0.14602936494901209,2.35757373629746,-0.5368904029641264
"(30.0, 32.0]",87,31.379689655172413,2.0877808045977018,2.14231,0.17850283696018238,2.176031401370122,-0.08825059677242031,2.20840518008469,-0.12062437548698801,1.9680868352205836,0.11969396937711818,2.528555411187994,-0.44077460659029244
"(32.0, 34.0]",534,33.16189194756554,2.4655642883895132,2.49333,0.1446535672610602,2.478839139521825,-0.013274851132311749,2.5122650206768955,-0.04670073228738225,2.322823567010121,0.1427407213793921,2.716959284003352,-0.2513949956138388
"(34.0, 36.0]",747,34.94239437751004,2.790321834002677,2.78667,0.13559638303710217,2.815669162002006,-0.025347327999328595,2.850265355682274,-0.059943521679596934,2.7174171202414286,0.07290471376124863,2.908252352569189,-0.11793051856651182
"(36.0, 38.0]",582,36.9176529209622,3.2304847250859106,3.22,0.16511079155200445,3.231703050646524,-0.0012183255606132981,3.2677447498883287,-0.03726002480241819,3.2047973400213854,0.02568738506452517,3.1239252576334473,0.10655946745246325
"(38.0, 40.0]",328,38.872541768292685,3.73711131097561,3.67333,0.40401944513690774,3.689702348172922,0.04740896280268769,3.7273353613673272,0.009775949608282541,3.741339685200898,-0.004228374225288434,3.340822844693238,0.3962884662823716
"(40.0, 42.0]",170,40.9263094117647,4.275342117647059,4.235894999999999,0.2866983375750025,4.223111989033677,0.05223012861338283,4.262598328660103,0.012743788986956162,4.366224616672426,-0.09088249902536649,3.5722532219751253,0.7030888956719341
"(42.0, 45.0]",81,43.059345679012345,5.106832716049383,4.87692,0.7295778015383493,4.836764100484778,0.2700686155646048,4.878382568200196,0.2284501478491876,5.08511293108814,0.021719784961242716,3.816343909570531,1.290488806478852
"(45.0, 50.1]",123,48.65544634146341,7.022760000000001,7.24,0.577181187062053,6.758631011318724,0.26412898868127677,6.806926986285282,0.21583301371471908,7.336563937740212,-0.31380393774021087,4.473847592893757,2.5489124071062434
