ahu,mask,kind,name,a,b,rated_hz,r2,n,formula
1,evaluation,power_law,empirical power law,0.12315467060217004,0.8890190313063396,50.0,0.5087435622409331,1807,P = 0.1232 * f^0.889
1,evaluation,offset_cubic,offset cubic,1.0969598754242245,5.08326514047743,50.0,0.8161503184722166,1807,P = 1.097 + 5.083 * (f/50)^3
1,evaluation,ideal_cubic,ideal cubic,0.0,7.99199262843566,50.0,0.5416257796334751,1807,P = 0.000 + 7.992 * (f/50)^3
1,analysis,power_law,empirical power law,0.12315467060217004,0.8890190313063396,50.0,0.5087435622409331,1807,P = 0.1232 * f^0.889
1,analysis,offset_cubic,offset cubic,1.0969598754242245,5.08326514047743,50.0,0.8161503184722166,1807,P = 1.097 + 5.083 * (f/50)^3
1,analysis,ideal_cubic,ideal cubic,0.0,7.99199262843566,50.0,0.5416257796334751,1807,P = 0.000 + 7.992 * (f/50)^3
1,no_settling,power_law,empirical power law,0.08262724068701661,1.0033480914521051,50.0,0.4822378157072854,2678,P = 0.0826 * f^1.003
1,no_settling,offset_cubic,offset cubic,0.8038446523662383,5.944668901103515,50.0,0.84994751416094,2678,P = 0.804 + 5.945 * (f/50)^3
1,no_settling,ideal_cubic,ideal cubic,0.0,7.97307357362005,50.0,0.7443550731354769,2678,P = 0.000 + 7.973 * (f/50)^3
1,all_usable,power_law,empirical power law,0.057474995148946266,1.1072039389792363,50.0,0.5423372075882971,2724,P = 0.0575 * f^1.107
1,all_usable,offset_cubic,offset cubic,0.7071971807630413,6.212755756499197,50.0,0.9063409265236009,2724,P = 0.707 + 6.213 * (f/50)^3
1,all_usable,ideal_cubic,ideal cubic,0.0,7.903776241028981,50.0,0.832328102827501,2724,P = 0.000 + 7.904 * (f/50)^3
2,evaluation,power_law,empirical power law,0.028563190677070662,1.3009504694861997,50.0,0.6615277681434091,1911,P = 0.0286 * f^1.301
2,evaluation,offset_cubic,offset cubic,0.49604771303625744,6.7962468652918595,50.0,0.9471399221063883,1911,P = 0.496 + 6.796 * (f/50)^3
2,evaluation,ideal_cubic,ideal cubic,0.0,8.035545275762813,50.0,0.913465802116739,1911,P = 0.000 + 8.036 * (f/50)^3
2,analysis,power_law,empirical power law,0.028563190677070662,1.3009504694861997,50.0,0.6615277681434091,1911,P = 0.0286 * f^1.301
2,analysis,offset_cubic,offset cubic,0.49604771303625744,6.7962468652918595,50.0,0.9471399221063883,1911,P = 0.496 + 6.796 * (f/50)^3
2,analysis,ideal_cubic,ideal cubic,0.0,8.035545275762813,50.0,0.913465802116739,1911,P = 0.000 + 8.036 * (f/50)^3
2,no_settling,power_law,empirical power law,0.08744648888330671,0.9965200105555688,50.0,0.4741965077765522,2681,P = 0.0874 * f^0.997
2,no_settling,offset_cubic,offset cubic,0.5038528528427159,6.87135900960537,50.0,0.9041192127325616,2681,P = 0.504 + 6.871 * (f/50)^3
2,no_settling,ideal_cubic,ideal cubic,0.0,8.019599879475791,50.0,0.8758215004192953,2681,P = 0.000 + 8.020 * (f/50)^3
2,all_usable,power_law,empirical power law,0.07609789842681662,1.0374423950455014,50.0,0.4975352586663706,2720,P = 0.0761 * f^1.037
2,all_usable,offset_cubic,offset cubic,0.5225844053233477,6.819860356667198,50.0,0.9203921473981025,2720,P = 0.523 + 6.820 * (f/50)^3
2,all_usable,ideal_cubic,ideal cubic,0.0,7.961746341570384,50.0,0.8908390127258506,2720,P = 0.000 + 7.962 * (f/50)^3
