ahu,kind,model,exponent,exponent_source,cut_fraction,n,baseline_kwh,counterfactual_kwh,saving_kwh,saving_fraction
1,power_law,empirical power law,0.3815839661639417,measured,0.2,1807,1333.809109940211,1236.5690476105901,97.24006232962097,0.07290403222240686
1,power_law,empirical power law,0.5,assumed,0.2,1807,1333.809109940211,1207.8590464974745,125.95006344273656,0.09442885230284742
1,offset_cubic,offset cubic,0.3815839661639417,measured,0.2,1807,1338.57217,1148.532162806181,190.04000719381884,0.14197217860417555
1,offset_cubic,offset cubic,0.5,assumed,0.2,1807,1338.57217,1098.768023052371,239.80414694762885,0.17914921012262555
1,ideal_cubic,ideal cubic,0.3815839661639417,measured,0.2,1807,1325.410696722707,1026.6266878960075,298.7840088266994,0.22542749169407744
1,ideal_cubic,ideal cubic,0.5,assumed,0.2,1807,1325.410696722707,948.3866931127457,377.02400360996126,0.28445824720006735
2,power_law,empirical power law,0.2315562156124532,measured,0.2,1911,1433.0770569271458,1339.9113437142191,93.16571321292668,0.06501095859611057
2,power_law,empirical power law,0.5,assumed,0.2,1911,1433.0770569271458,1239.4584701784543,193.61858674869154,0.13510689171443113
2,offset_cubic,offset cubic,0.2315562156124532,measured,0.2,1911,1452.4694949999994,1277.93335492806,174.53614007193937,0.12016509859433533
2,offset_cubic,offset cubic,0.5,assumed,0.2,1911,1452.4694949999994,1106.7154166284222,345.7540783715772,0.23804567294652706
2,ideal_cubic,ideal cubic,0.2315562156124532,measured,0.2,1911,1437.1264702604135,1230.7635932779103,206.36287698250317,0.1435940964507524
2,ideal_cubic,ideal cubic,0.5,assumed,0.2,1911,1437.1264702604135,1028.3239935253166,408.8024767350969,0.2844582472000673
