box,ahu,n,k,r2_uncentred,r2_centred,var_x,sigma_eps_k,eiv_bias_in_k,k_debiased,tau_euler_h,tau_exact_h,tau_exact_debiased_h
vav_8_1_1,1,826,0.2597056021830806,0.8424887346051653,0.7851440759015033,0.3327743938857875,0.027262858209414216,0.001653473852482826,0.2580484269708543,0.9626284450489497,0.8313731300491403,0.8376014616775375
vav_8_1_10,1,826,0.1862316847174303,0.9252342090399608,0.8746402041009362,0.6572871905714184,0.058216751141216924,0.00419605853932341,0.18201387777069944,1.342413888266787,1.2131235995179876,1.2443388306346086
vav_8_1_11,1,826,0.2626204663182554,0.81866453411418,0.7581050221219121,0.3242093513896904,0.037916200098566465,0.0032697545676381,0.25933614813188244,0.951944086859699,0.8206069551006294,0.8327548523584338
vav_8_1_12,1,826,0.2662454556297268,0.8385508116664047,0.7836504164410347,0.29208419332794794,0.03784297783885431,0.0035976039869624415,0.2626301256530063,0.9389831627687208,0.8075438432790554,0.8205716716796045
vav_8_1_13,1,826,0.2666511846674059,0.8298223134645478,0.7741728835203614,0.3078234930969754,0.037674605923887425,0.003381475687315477,0.26325404474800373,0.9375544320638406,0.8061036447184972,0.8182980681945933
vav_8_1_14,1,826,0.17755261713167567,0.8598599830623657,0.7693630309368985,0.48930483313606105,0.05827410872521912,0.00570794654442145,0.17180477946371472,1.4080333145109107,1.2789635977347742,1.3262150681654945
vav_8_1_15,1,826,0.1912716618960991,0.7986231928907326,0.6976954467375465,0.5883173178624519,0.048388701572563544,0.003218688631382109,0.1880401118961256,1.3070415006683154,1.1776220646444506,1.2001670310239576
vav_8_1_16,1,826,0.21805634315299002,0.4957488215783783,0.39382425917125685,0.6878507988291513,0.0708422192934683,0.005705129816993595,0.21230928227344883,1.1464926742562038,1.0163734051898425,1.0475602565430189
vav_8_1_17,1,826,0.19548287092353644,0.7916280806572642,0.6883600636679805,0.3570883814533837,0.019392205986505127,0.0008472547388574981,0.1946347229813682,1.2788844302260531,1.1493564781798309,1.1549512954146839
vav_8_1_18,1,826,0.24679137941790408,0.7649780772320451,0.702789161153961,0.27287526467236517,0.01895396515985751,0.000991633678115997,0.24579843848753413,1.0130013478982287,0.8821047989061739,0.8862243117688249
vav_8_1_19,1,826,0.2605767039506491,0.6712043273757722,0.6070763712235114,0.23063694064804205,0.022689762468418546,0.0016505328009474639,0.2589224786055163,0.9594104008904334,0.8281306678838352,0.8343065745022812
vav_8_1_2,1,826,0.25253400325025516,0.8833038645923343,0.8258569966411918,0.26978527365305505,0.017735742924657016,0.0008715091904192398,0.25166147673613254,0.9899656948464718,0.8589103551176691,0.8623668324370015
vav_8_1_20,1,826,0.23573385488450108,0.6231143456118993,0.5671240697924333,0.24023803587934764,0.027244157883504653,0.0023612916439504812,0.2333652451375061,1.0605180156345753,0.9299239341296921,0.9407522132391414
vav_8_1_21,1,826,0.22813735057138418,0.6972039746993457,0.6463406650120985,0.3014729064361144,0.02748088150474497,0.0019335395368296343,0.2261989552951203,1.0958310832218374,0.9654423389065389,0.9748850631787562
