ahu,estimator,n,slope,intercept,r2,resid_sd_k,sd_sat_sp_k,sd_t_sa_k
1,differences,2620,2.574696825350896,-0.10767107718116382,0.17160818958542412,1.0395638933666116,0.1837355813329252,1.141958602591506
1,differences |d|>=0.15,159,3.0188775500918075,-1.6723954763592233,0.4758011917469327,2.3181892639648902,0.7292718049722109,3.1917006957798177
1,episodes,80,2.7933484618354925,,,,0.7375812016718379,1.079674330249833
1,episodes ex-startup,80,2.7933484618354925,,,,0.7375812016718379,1.079674330249833
1,levels,2688,0.9988116384450635,-1.2884887516543424,0.0407750151132914,1.902331834770508,0.39260757678326913,1.9419820239408283
2,differences,2803,2.523725059179378,-0.11185696937123121,0.15265084834024156,1.1981482252920745,0.20146954670736195,1.3013731384537421
2,differences |d|>=0.15,174,2.899631791098813,-1.8048415188230478,0.44259149712454293,2.59853476950808,0.7962355977832591,3.470426967928793
2,episodes,87,0.9134104046321349,,,,0.8027671071800988,1.4013963567358114
2,episodes ex-startup,87,0.9134104046321349,,,,0.8027671071800988,1.4013963567358114
2,levels,2868,1.3781610588338826,-6.83858817115948,0.08161942904429098,2.391600213341299,0.5172473665348853,2.495177734554888
