column,n,median,mean,p1,p99,median_if_degf,p1_if_degf,p99_if_degf,plausible_as_degc,verdict
ahu_b8_1__return_water_temperature,8650,66.4363,65.17292326011561,49.965985,72.227763,19.131277777777782,9.98110277777778,22.34875722222222,False,degF
ahu_b8_1__supply_air_temperature,8650,23.165,21.425080142196528,12.69964,25.146357000000002,-4.908333333333334,-10.722422222222221,-3.8075794444444435,True,degC
ahu_b8_1__supply_water_temperature,8650,54.816649999999996,51.93662621965318,43.122427,58.135135999999996,12.675916666666664,6.179126111111112,14.519519999999996,True,degF
ahu_b8_1__water_delta_temperature,8650,11.6667,13.237156139699422,1.4840546999999997,24.739701999999998,-11.29627777777778,-16.953302944444445,-4.03349888888889,True,degF interval (set by k)
ahu_b8_2__return_water_temperature,8650,64.3155,63.837579815028896,51.033304,71.150688,17.953055555555554,10.574057777777778,21.750382222222225,False,degF
ahu_b8_2__supply_air_temperature,8650,22.512349999999998,20.650406588439306,11.198586,24.476703,-5.270916666666668,-11.556341111111111,-4.179609444444444,True,degC
ahu_b8_2__supply_water_temperature,8650,53.9865,51.32986287861271,43.140364,56.752465,12.214722222222223,6.18909111111111,13.751369444444444,True,degF
ahu_b8_2__water_delta_temperature,8650,11.71975,12.507582451294798,2.4368578,22.804871000000002,-11.266805555555557,-16.423967888888892,-5.1084049999999985,True,degF interval (set by k)
floor_8_zone_1_iaq_10__temperature,8146,24.2733,24.04214885833538,21.10967,25.783135,-4.292611111111111,-6.050183333333333,-3.453813888888888,True,degC
floor_8_zone_1_iaq_11__temperature,8147,23.8,23.562305057076223,20.934404,25.103618,-4.555555555555555,-6.147553333333333,-3.831323333333333,True,degC
floor_8_zone_1_iaq_12__temperature,8055,24.9,24.838714674115455,22.5154,26.346166,-3.944444444444445,-5.269222222222222,-3.1410188888888886,True,degC
floor_8_zone_1_iaq_13__temperature,8146,24.2267,24.208477093051805,22.3867,25.560670000000002,-4.318499999999999,-5.3407222222222215,-3.5774055555555546,True,degC
floor_8_zone_1_iaq_1__temperature,8146,25.7,25.539608445863,22.98967,27.6,-3.5000000000000004,-5.005738888888889,-2.4444444444444438,True,degC
floor_8_zone_1_iaq_2__temperature,8146,25.3,25.11056169899337,22.9933,26.836985000000002,-3.7222222222222223,-5.003722222222221,-2.8683416666666655,True,degC
floor_8_zone_1_iaq_3__temperature,8147,25.0071,24.74650152203265,21.970212,26.419034,-3.884944444444444,-5.572104444444444,-3.1005366666666667,True,degC
floor_8_zone_1_iaq_4__temperature,8146,25.2214,25.010648870611348,22.4267,26.67964,-3.765888888888889,-5.3185,-2.955755555555556,True,degC
floor_8_zone_1_iaq_5__temperature,8138,24.6133,24.615601560579993,23.019384,26.3333,-4.103722222222223,-4.989231111111112,-3.148166666666666,True,degC
floor_8_zone_1_iaq_6__temperature,8146,24.28,24.238216511171128,22.183014999999997,25.94,-4.288888888888888,-5.453880555555557,-3.366666666666666,True,degC
floor_8_zone_1_iaq_7__temperature,8146,24.3933,24.356069322366807,22.56538,25.9,-4.225944444444445,-5.241455555555555,-3.3888888888888897,True,degC
floor_8_zone_1_iaq_8__temperature,8145,25.1,25.100971233885822,23.5,26.4,-3.8333333333333326,-4.722222222222222,-3.111111111111112,True,degC
floor_8_zone_1_iaq_9__temperature,8145,24.1,23.983811553100065,21.9,25.34,-4.388888888888888,-5.611111111111112,-3.6999999999999997,True,degC
outdoor_weather_station__drybulb_temperature,8374,85.0,85.99222202053976,77.008103,96.42700000000005,29.444444444444443,25.00450166666667,35.7927777777778,False,degF
outdoor_weather_station__wetbulb_temperature,8374,77.28055,77.09956401958442,72.456706,81.64724100000001,25.155861111111115,22.475947777777776,27.58180055555556,False,degF
vav_8_1_10__room_temperature,8643,23.5493,23.106458556056925,19.18284,25.522754,-4.694833333333333,-7.120644444444445,-3.5984700000000007,True,degC
vav_8_1_11__room_temperature,8643,24.09,23.749845956265187,20.601974000000002,25.874432,-4.394444444444444,-6.332236666666666,-3.403093333333334,True,degC
vav_8_1_12__room_temperature,8643,24.2347,23.9357364491496,20.91684,25.943566,-4.314055555555555,-6.1573111111111105,-3.364685555555555,True,degC
vav_8_1_13__room_temperature,8643,24.23,23.913267850283468,20.867888,25.856406,-4.316666666666666,-6.184506666666667,-3.413107777777778,True,degC
vav_8_1_14__room_temperature,8643,23.5727,23.19170908712253,19.648574,25.483186,-4.6818333333333335,-6.861903333333334,-3.6204522222222217,True,degC
vav_8_1_15__room_temperature,8643,23.9573,23.57571174707856,19.720114000000002,26.16,-4.468166666666666,-6.822158888888888,-3.2444444444444445,True,degC
vav_8_1_16__room_temperature,8643,24.7833,24.395099066296424,20.719134,27.208112,-4.009277777777778,-6.267147777777778,-2.66216,True,degC
vav_8_1_17__room_temperature,8643,24.6113,24.359647399051255,21.5387,26.298614,-4.104833333333334,-5.811833333333334,-3.1674366666666662,True,degC
vav_8_1_18__room_temperature,8643,24.7153,24.49761138146477,21.6193,26.539914,-4.047055555555556,-5.767055555555556,-3.0333811111111113,True,degC
vav_8_1_19__room_temperature,8643,24.522,24.29112157815573,21.787092,26.396,-4.1544444444444455,-5.673837777777777,-3.113333333333333,True,degC
vav_8_1_1__room_temperature,8643,24.6127,24.564877433761428,21.55684,27.542868,-4.104055555555555,-5.801755555555555,-2.476184444444445,True,degC
vav_8_1_20__room_temperature,8643,24.5907,24.47916909175055,21.8707,26.842026,-4.116277777777778,-5.627388888888889,-2.865541111111111,True,degC
vav_8_1_21__room_temperature,8643,24.7333,24.501587513594817,21.882728,27.06348,-4.037055555555556,-5.620706666666667,-2.742511111111112,True,degC
vav_8_1_22__room_temperature,8643,24.8647,24.6726739592734,21.77298,27.566779999999998,-3.964055555555556,-5.681677777777777,-2.462900000000001,True,degC
vav_8_1_25__room_temperature,8643,24.2793,23.953289274557445,20.9133,26.086406,-4.289277777777778,-6.159277777777778,-3.28533,True,degC
vav_8_1_26__room_temperature,8643,24.4707,24.2114158162675,21.347134,26.406,-4.182944444444444,-5.918258888888889,-3.1077777777777786,True,degC
vav_8_1_27__room_temperature,8643,24.4913,24.365423194492653,21.858546,26.200406,-4.171500000000001,-5.63414111111111,-3.221996666666666,True,degC
vav_8_1_28__room_temperature,8643,28.91,28.18381074395464,24.262728,30.52102,-1.7166666666666666,-4.298484444444445,-0.8216555555555556,True,degC
vav_8_1_2__room_temperature,8643,24.1847,23.92132397662849,21.171888,25.662406,-4.341833333333334,-6.015617777777779,-3.520885555555555,True,degC
vav_8_1_3__room_temperature,8643,23.77,23.414356666666666,20.29006,25.327914,-4.572222222222223,-6.505522222222222,-3.7067144444444446,True,degC
vav_8_1_4__room_temperature,8643,24.4167,24.246299753557793,21.33052,26.385074,-4.212944444444445,-5.927488888888889,-3.1194033333333335,True,degC
vav_8_1_5__room_temperature,8643,24.0773,23.774276817077403,20.864952,25.587048,-4.4014999999999995,-6.186137777777778,-3.562751111111112,True,degC
vav_8_1_6__room_temperature,6552,24.7753,22.776765344932848,1.7020134,26.548343,-4.0137222222222215,-16.83221477777778,-3.0286983333333337,True,degC
vav_8_1_7__room_temperature,8642,24.1367,23.81950221707938,20.805874,25.706413,-4.368499999999999,-6.2189588888888885,-3.4964372222222213,True,degC
vav_8_1_8__room_temperature,8643,23.502,23.244714963554323,20.745594,25.102406,-4.721111111111112,-6.252447777777778,-3.831996666666667,True,degC
vav_8_1_9__room_temperature,5375,24.1333,20.755401884651164,1.41933,25.627222000000003,-4.37038888888889,-16.989261111111112,-3.54043222222222,True,degC
vav_8_2_10__room_temperature,8650,24.5953,24.540362046242773,22.10368,27.32804,-4.113722222222221,-5.4979555555555555,-2.5955333333333326,True,degC
vav_8_2_11__room_temperature,8650,24.43735,24.184981907514448,21.578239999999997,26.7127,-4.201472222222224,-5.7898666666666685,-2.937388888888888,True,degC
vav_8_2_12__room_temperature,8650,24.26635,23.99586427745665,21.394914,26.50372,-4.2964722222222225,-5.891714444444444,-3.053488888888888,True,degC
vav_8_2_13__room_temperature,8650,24.4613,24.20034289017341,21.580954000000002,26.4993,-4.188166666666666,-5.7883588888888875,-3.0559444444444437,True,degC
vav_8_2_14__room_temperature,8650,24.876,24.795196971098264,22.4807,27.759657,-3.9577777777777765,-5.288500000000001,-2.355746111111111,True,degC
vav_8_2_15__room_temperature,8601,24.8453,24.6564535693524,18.4,28.112,-3.9748333333333323,-7.555555555555555,-2.160000000000001,True,degC
vav_8_2_16__room_temperature,8650,24.95135,25.01846238150289,22.798303,28.339363,-3.9159166666666656,-5.112053888888888,-2.033687222222223,True,degC
vav_8_2_17__room_temperature,8650,24.57835,24.535371040462426,21.880463000000002,27.392,-4.123138888888889,-5.6219649999999985,-2.5600000000000005,True,degC
vav_8_2_18__room_temperature,8289,24.7187,24.832066630474124,22.965144,27.735680000000013,-4.045166666666668,-5.019364444444445,-2.3690666666666598,True,degC
vav_8_2_19__room_temperature,8650,24.68,24.71673358381503,22.107577,27.551683,-4.066666666666666,-5.495790555555556,-2.4712872222222217,True,degC
vav_8_2_1__room_temperature,8650,24.316,24.16838336416185,21.381974,27.131114000000004,-4.268888888888889,-5.898903333333333,-2.7049366666666645,True,degC
