bin,n,flow_median,sfp_median,sfp_achievable,actual_kwh,achievable_kwh,gap_kwh,ahu
0,181,6571.49563,0.0004076561756921303,0.00039436573383961097,114.538985,109.31810639916068,5.220878600839313,1
1,181,6725.0,0.0004035364236142906,0.0003950817363334656,123.11081250000001,120.27026359627271,2.8405489037272957,1
2,180,6922.067,0.0004060151532658009,0.0003940538541112242,126.99467500000002,122.72881372950269,4.265861270497325,1
3,181,7052.599999999999,0.0004055625426859894,0.0003922907863766554,129.47824999999997,125.20035906305172,4.277890936948253,1
4,181,7158.198399999999,0.0004040252360896215,0.0003825013426863049,130.10177,123.83201157879404,6.26975842120595,1
5,180,7247.9673,0.0004052431308019591,0.00038801394397796767,131.88564499999998,126.51705587632334,5.368589123676642,1
6,181,7363.400000000001,0.00040880364656436786,0.00039643673317178783,136.301735,132.05533717690915,4.2463978230908594,1
7,180,7485.8663,0.0004115925982341998,0.0003990556890723465,139.134165,134.4611402043971,4.673024795602885,1
8,181,7651.5353000000005,0.000418163163271507,0.0004058342999105331,145.1482575,140.6304064438058,4.517851056194189,1
9,181,7935.79733,0.0004332530859148976,0.0004131085805915502,161.877875,151.90753417573953,9.970340824260461,1
0,192,4328.665000000001,0.0005443636573427367,0.0004666715758866595,108.06715750000001,94.59985691538357,13.467300584616439,2
1,191,4956.799999999999,0.0004872114444144783,0.0004761462240271565,116.9450825,113.0275689472986,3.9175135527013936,2
2,191,5354.844999999999,0.0004859889561810431,0.0004742493996749487,125.708375,121.14732021900312,4.5610547809968836,2
3,191,5557.065,0.0004865760487241985,0.0004729541056688194,128.41143999999997,125.51239034620866,2.899049653791309,2
4,191,5743.868,0.0004871101063193565,0.0004745001009630771,133.21606,130.14233529969692,3.0737247003030745,2
5,191,5976.400000000001,0.0004921599483163186,0.0004772978804598108,141.2254175,136.30315004152953,4.922267458470458,2
6,191,6254.935,0.0004996486243888002,0.0004821499616158333,150.3263375,144.15553853164033,6.170798968359662,2
7,191,6626.267,0.0005084235483215361,0.00048739482960892365,160.317025,153.8410234001875,6.476001599812491,2
8,191,6961.865,0.0005175220462938008,0.0005050353469661201,173.72930499999998,169.00251406400872,4.726790935991261,2
9,191,7849.664,0.0005502817987457763,0.0005275862738188802,214.523295,201.1933278800974,13.32996711990259,2
