step,energy_kwh,cost_comfort,cost_vent,feasible,violation,kept
5000,83.2158409628682,9435.161784637407,0.0,True,0.0,True
10000,79.80442114583856,9264.104236098257,0.0,True,0.0,True
15000,83.4155469850846,9325.207643980953,0.0,True,0.0,False
20000,82.56945668277794,9408.73501360323,0.0,True,0.0,False
25000,82.77232068639107,9318.213202409464,0.0,True,0.0,False
30000,82.24426301236011,9179.07100516251,0.0,True,0.0,False
35000,80.0993107829662,9074.49056039113,0.0,True,0.0,False
40000,81.07595874449049,9214.511995587185,0.0,True,0.0,False
45000,81.28721082144526,9240.417720700414,0.0,True,0.0,False
50000,80.02465786317654,9116.9852281536,0.0,True,0.0,False
55000,79.76883537597574,9154.120868800625,0.0,True,0.0,True
60000,79.16509408163385,9046.9913242079,0.0,True,0.0,True
