step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
96,0,-150.25538994334144,9913.319962321504,0.0,64.61644797893788,336.1886638888078,0.9716001152992249,1.0,1.0,2026-07-21 00:00:00,0.9127555772777217
192,1,-154.28107202406102,17346.914087349614,0.0,57.07777486029953,382.3235243078307,0.9440178871154785,1.0,1.0,2026-06-18 00:00:00,0.07226526552987678
288,2,0.0,0.0,0.0,0.0,0.0,0.9172104001045227,1.0,1.0,2026-07-26 00:00:00,0.5863783547983777
384,3,-133.87020714279188,11877.957658753787,0.0,62.776066257471534,278.4206903369494,0.8911795616149902,1.0,1.0,2026-07-08 00:00:00,0.7084994832867091
480,4,-162.96384676241138,10699.6174101205,0.0,65.7002404552461,382.3322516066382,0.8659102916717529,1.0512710961796454,0.9512294260954222,2026-07-20 00:00:00,0.8830780014959977
576,5,0.0,0.0,0.0,0.0,0.0,0.8413577675819397,1.1045714546906107,0.9049104829997792,2026-07-28 00:00:00,0.5632039958201955
672,6,-146.03227142292937,13543.95366290951,0.0,63.54028936908695,323.8842815392172,0.8175076246261597,1.1609139905984762,0.8609623145441503,2026-07-01 00:00:00,0.6426983422873438
768,7,-148.26560328234368,15785.753589645023,4.0,63.58822680029913,332.37292902891306,0.7943263053894043,1.220496591985025,0.8365422078902992,2026-06-18 00:00:00,0.3395567095887363
864,8,-138.38422314944017,18168.972300049227,2.0,63.83830233730962,291.90142924674524,0.7717751860618591,1.2834696035548407,0.830663356629303,2026-06-12 00:00:00,0.6387182191618228
960,9,0.0,0.0,0.0,0.0,0.0,0.7498721480369568,1.3499604961341347,0.8343041507343888,2026-06-27 00:00:00,0.03050959749016091
1056,10,-138.99436130203705,13523.093460055914,1.0,61.09406991606962,304.7174010691135,0.728600263595581,1.4202990965219537,0.8456654526639441,2026-07-23 00:00:00,0.7479296517191851
1152,11,-146.48491292872797,14381.655914851202,0.0,62.854079841611664,328.0359778578341,0.7079483866691589,1.4948135450526816,0.8620927569575576,2026-05-26 00:00:00,0.3588024741195469
1248,12,-142.40531008930867,12578.949096813218,0.0,63.37275828936824,309.5468003913409,0.6878789067268372,1.5738125693102845,0.8821111805026658,2026-07-09 00:00:00,0.8297852952045203
1344,13,0.0,0.0,0.0,0.0,0.0,0.668367326259613,1.6573615724328419,0.9047716108448858,2026-05-30 00:00:00,0.35340365097167625
1440,14,-149.26467892772854,18126.172720770515,0.0,65.67186296155025,327.472961119293,0.6494344472885132,1.7460305842270771,0.9293885525987289,2026-05-27 00:00:00,0.8495758596148045
1536,15,-135.6829992564255,17762.26940724338,0.0,59.72651199617056,297.749565454245,0.6310527324676514,1.8403249024685033,0.9554163678585755,2026-07-02 00:00:00,0.9658636158421577
1632,16,-101.18162478384077,9526.55308637884,10.0,46.65239289245644,213.4106545145183,0.6132088303565979,1.9406117305797568,0.9889791749924877,2026-06-16 00:00:00,0.5521587316062065
1728,17,-158.85597044818383,10474.307382306259,0.0,63.01039650583444,376.51798681398066,0.5958981513977051,2.047319670814995,1.0285113610259724,2026-07-20 00:00:00,0.49411954449343354
1824,18,0.0,0.0,0.0,0.0,0.0,0.5790811777114868,2.160652681746385,1.0732424368551285,2026-05-24 00:00:00,0.72592052770485
1920,19,-139.1887522916891,8813.332901765221,0.0,63.31485949400579,296.98605070762164,0.5627672672271729,2.281119824192632,1.1227504596499716,2026-07-13 00:00:00,0.7204619353651508
2016,20,-142.70082365270082,41048.20061258366,5.0,67.2734812994815,295.53788357751415,0.5469303131103516,2.4100457150189265,1.1776791044378578,2026-05-21 00:00:00,0.3546429435481566
2112,21,0.0,0.0,0.0,0.0,0.0,0.5315267443656921,2.547631792083402,1.238030781868709,2026-06-28 00:00:00,0.7521927947507213
2208,22,-142.78395871365635,11328.910073459236,0.0,63.26515947055898,312.3833461996161,0.5165486335754395,2.694868608494391,1.3039069745653518,2026-07-10 00:00:00,0.5480204245325432
2304,23,-155.17374679026466,17545.415443070295,0.0,60.49965813791995,371.77114820680634,0.5020260214805603,2.8526205924680226,1.3754930899773665,2026-05-29 00:00:00,0.08403801035747649
2400,24,0.0,0.0,0.0,0.0,0.0,0.4878971576690674,3.02136206394583,1.4530470456462965,2026-06-27 00:00:00,0.835080722022197
2496,25,-108.80190378213734,31008.07446200126,32.0,46.47859802442183,242.95163177080155,0.47416630387306213,3.2027773889794844,1.529025443498709,2026-05-22 00:00:00,0.22921580260727947
2592,26,-116.63133857048444,5230.93451127963,0.0,28.550918081428875,347.25859853233396,0.46084830164909363,3.3976253691866676,1.611279918915606,2026-07-19 00:00:00,0.38880252777883706
2688,27,-131.20806404011526,12174.112350350284,6.0,59.67698550359193,279.6020079724681,0.44788864254951477,3.6068427558699456,1.7011204541843181,2026-07-01 00:00:00,0.5376949929361501
2784,28,-141.96693482540704,13183.868842699609,0.0,65.50819943355145,300.05022070586847,0.4352801442146301,3.831404700044535,1.7994264607993775,2026-05-26 00:00:00,0.31376394693961096
2880,29,-144.72750495980372,14647.954806256183,0.0,66.85632942538192,305.366915236839,0.4230250120162964,4.073141666935943,1.9067010007384504,2026-06-18 00:00:00,0.5678295964143394
2976,30,-135.8009209214964,9854.118571182045,0.0,52.47498897842509,328.2032960191565,0.41109684109687805,4.333298952189678,2.023457809987014,2026-06-01 00:00:00,0.11633343986020417
3072,31,0.0,0.0,0.0,0.0,0.0,0.3995209038257599,4.612696314514559,2.150293641892999,2026-07-26 00:00:00,0.5181714013401479
3168,32,-136.94671649285917,13432.655140441055,7.0,61.518955881064215,295.82891811755815,0.3882652521133423,4.91312143220859,2.288045219374847,2026-07-03 00:00:00,0.6787063848027507
3264,33,0.0,0.0,0.0,0.0,0.0,0.37734803557395935,5.23646742851336,2.4375486458447715,2026-06-28 00:00:00,0.9469593326057496
3360,34,-140.7641686356216,15983.548195107367,0.0,64.69785564828592,298.1091830934511,0.3667442798614502,5.584652010590967,2.5997071408657795,2026-06-02 00:00:00,0.7429214897718454
3456,35,-137.34221417157508,11520.088726002432,0.0,63.116685602596604,290.5231862429705,0.356462299823761,5.959435485170669,2.7755156945921695,2026-07-15 00:00:00,0.7159935507731606
3552,36,-134.05037513967775,16248.390521441554,10.0,58.747033587194885,295.5992413393379,0.34647297859191895,6.363941044432037,2.966077183137946,2026-06-02 00:00:00,0.8576706797754795
3648,37,-148.56600988256545,9200.450609948752,0.0,69.87414783985301,308.57276510682976,0.3367782235145569,6.800776031174573,3.1726155906859397,2026-07-13 00:00:00,0.5918113502089987
3744,38,-124.53565751919672,5467.481555971718,0.0,31.627607123708195,366.2675919848895,0.32732146978378296,7.273452473669349,3.39648870018709,2026-07-18 00:00:00,0.2991350444445955
3840,39,0.0,0.0,0.0,0.0,0.0,0.3181734085083008,7.784304650976934,3.639201356247671,2026-07-25 00:00:00,0.35674432355633123
3936,40,0.0,0.0,0.0,0.0,0.0,0.3093085289001465,8.330172652110175,3.9016967971331242,2026-05-24 00:00:00,0.3879398941895421
4032,41,0.0,0.0,0.0,0.0,0.0,0.30069777369499207,8.915213551622204,4.185866486521342,2026-05-30 00:00:00,0.6427466760927724
4128,42,-135.3498783366513,12692.626195917162,3.0,60.196098747379885,295.70080666627564,0.2923509180545807,9.54429843029303,4.494335400889325,2026-07-24 00:00:00,0.6757485885216394
4224,43,0.0,0.0,0.0,0.0,0.0,0.28422990441322327,10.217252654203984,4.8293490143015045,2026-06-27 00:00:00,0.046186698594904985
4320,44,-142.8545208960103,9425.649510122026,0.0,65.15995655749042,305.89834418754646,0.2763722836971283,10.94255487115287,5.193389523591426,2026-06-05 00:00:00,0.5826306002328618
4416,45,0.0,0.0,0.0,0.0,0.0,0.26876530051231384,11.71354857600546,5.571569868335851,2026-07-12 00:00:00,0.2707812754821043
4512,46,-97.97021283755026,35624.6611207584,2.0,56.60510152436127,162.7993325973132,0.261375367641449,12.549753683103914,5.96798451622911,2026-05-20 00:00:00,0.4672166486403989
