step,energy_kwh,cost_comfort,cost_vent,feasible,violation,kept
5000,78.38353107487528,9067.624964826713,0.0,False,0.8183059162438893,True
10000,79.89056505201447,9248.040893532141,0.0,False,0.8544842266418409,False
15000,80.4899418095726,9402.879815688011,0.0,False,0.8855336502023605,False
20000,81.93669843044974,9485.170180268708,0.0,False,0.902035110876722,False
25000,80.41642713962834,9169.015976686092,0.0,False,0.8386375772282149,False
30000,79.19861425663592,9163.723685530636,0.0,False,0.8375763286260971,False
35000,82.12990998213957,9265.101368798107,0.0,False,0.8579053168645143,False
40000,80.50760647356478,9187.628409719557,0.0,False,0.8423698772772044,False
45000,81.68400451679541,9155.878070748422,0.0,False,0.8360030690536724,False
50000,79.22940914882084,9008.698508979634,0.0,False,0.8064895559835514,True
55000,80.01349250019823,9045.065057520032,0.0,False,0.8137820400266031,False
60000,79.97995384293202,9067.819281567035,0.0,False,0.8183448820458412,False
