step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
96,0,-149.79084268900598,15536.717677790732,0.0,64.5182112652309,335.61994697055223,0.971595823764801,1.0,1.0,2026-06-25 00:00:00,0.42332644897257565
192,1,-148.52590784339787,13758.767837856647,0.0,63.852325459867465,332.6177317062335,0.9440130591392517,1.0,1.0,2026-07-01 00:00:00,0.7827604679261685
288,2,0.0,0.0,0.0,0.0,0.0,0.9172011017799377,1.0,1.0,2026-05-30 00:00:00,0.35102386263458685
384,3,0.0,0.0,0.0,0.0,0.0,0.8911584615707397,1.0,1.0,2026-06-03 00:00:00,0.8615793288939493
480,4,0.0,0.0,0.0,0.0,0.0,0.8658643364906311,1.0512710900811113,0.9512294260954222,2026-07-26 00:00:00,0.28380239863237033
576,5,-138.24109570773385,14330.751870897326,4.0,64.52704834912383,288.26238145170345,0.8412749767303467,1.098316343780507,0.9575607346516395,2026-06-26 00:00:00,0.3961064626087849
672,6,-146.03465314529154,13654.402348927928,4.0,63.132234335514994,324.9546693346093,0.8173859715461731,1.149205959037701,0.987019683414616,2026-07-24 00:00:00,0.3422514539903797
768,7,-130.67399282183064,12016.66926782215,5.0,59.38992511201742,277.9382636872463,0.7941982746124268,1.2041548999236602,1.0253112452228628,2026-07-08 00:00:00,0.24850168001187267
864,8,0.0,0.0,0.0,0.0,0.0,0.7716588377952576,1.262918447967312,1.069365510548334,2026-06-28 00:00:00,0.8426267670549912
960,9,-137.87966344029178,21966.47948358756,0.0,68.4925249028725,271.70207310866795,0.7497760057449341,1.325533425990901,1.1178059519255998,2026-07-07 00:00:00,0.2509043791169674
1056,10,-153.94792426394713,17158.053182798463,0.0,67.6088709496713,339.27947591692293,0.7285276651382446,1.391942674117567,1.1699506450901052,2026-06-02 00:00:00,0.7080282063122164
1152,11,-156.29804105593797,10691.606387817586,0.0,63.6677014859108,364.7398866960164,0.7079071998596191,1.4627641520491712,1.2254192692950827,2026-06-04 00:00:00,0.8021387118032729
1248,12,0.0,0.0,0.0,0.0,0.0,0.6878793239593506,1.5382114486157956,1.2839817377217664,2026-07-28 00:00:00,0.2464685248707037
1344,13,-141.83593961605388,41053.8002151828,1.0,64.6397057256493,302.4715459569484,0.668424129486084,1.6179308940529915,1.34593089135946,2026-05-21 00:00:00,0.36701059044466433
1440,14,-134.41117573093425,13002.077685201539,3.0,56.70535590566308,304.70969875180657,0.6495360732078552,1.7028538277083751,1.4122271014099599,2026-07-08 00:00:00,0.4377045405814164
1536,15,-137.0633638912759,40715.71627913445,0.0,63.62017887688224,287.5451568659593,0.631192684173584,1.7925721730156199,1.4827523156155669,2026-05-21 00:00:00,0.9279693195160548
1632,16,-143.07914516524096,14623.510286840778,0.0,63.10281665444727,313.26048446380497,0.6134166717529297,1.8882911115888665,1.5574525330917344,2026-06-25 00:00:00,0.8267187926265982
1728,17,-150.10404014467684,16128.92091404456,3.0,63.714939780755714,338.70825589314114,0.5961551070213318,1.9906778918369037,1.6373283953545883,2026-06-18 00:00:00,0.5734472061777176
1824,18,-142.75946223372418,16730.03117930299,1.0,62.4632077429133,314.968407157185,0.5793696045875549,2.100288897459601,1.7226784960715795,2026-06-30 00:00:00,0.32337721576892076
1920,19,0.0,0.0,0.0,0.0,0.0,0.5630577206611633,2.2175832003975966,1.8135563149105995,2026-07-29 00:00:00,0.4062477741541459
2016,20,-147.3157122514818,12516.797246104286,9.0,60.79962839002677,339.6137245165403,0.5472124218940735,2.343032027093188,1.9117954810641529,2026-07-27 00:00:00,0.4633228012303384
2112,21,0.0,0.0,0.0,0.0,0.0,0.5317268371582031,2.476838157224311,2.0177907393513927,2026-06-20 00:00:00,0.7552922076196017
2208,22,-120.9844709384836,15889.432754572903,42.0,53.90163102932096,262.5496973665912,0.5167001485824585,2.620140362621998,2.1210654660900032,2026-05-27 00:00:00,0.20693743138977705
2304,23,0.0,0.0,0.0,0.0,0.0,0.5020701289176941,2.773637538852103,2.2322912666568957,2026-07-26 00:00:00,0.8953370057255919
2400,24,0.0,0.0,0.0,0.0,0.0,0.4878651797771454,2.9381030597929456,2.353499092410658,2026-05-23 00:00:00,0.40832336639420574
2496,25,-117.33080515429496,16166.294904200999,0.0,52.51498215948814,253.55227124690416,0.4740836024284363,3.11445104410213,2.4856727853103076,2026-07-02 00:00:00,0.9851475831171779
2592,26,-126.25107207177774,15629.224151790604,43.0,53.24501514709617,287.0945343270727,0.46067917346954346,3.303686939120667,2.6261474711446198,2026-06-12 00:00:00,0.002520534144889508
2688,27,-81.79330873381531,35898.24467467812,24.0,39.00345480703676,166.579061191933,0.44772836565971375,3.507461497425003,2.776310497079285,2026-05-20 00:00:00,0.8518343329898008
2784,28,0.0,0.0,0.0,0.0,0.0,0.435121089220047,3.7268864503692885,2.939188279981224,2026-06-07 00:00:00,0.9317318978627311
2880,29,-131.37816212588035,12533.458093154833,0.0,57.71200428657458,289.9817778097021,0.42292916774749756,3.962895692781122,3.1162806315837095,2026-07-24 00:00:00,0.8161648865616052
2976,30,-140.46553457611913,9518.296776416511,0.0,61.296674631176614,310.5101002248778,0.41107669472694397,4.216507546507116,3.308744777835309,2026-06-05 00:00:00,0.9420683276592541
