step,episode,return,cost_comfort,cost_vent,fan_kwh,coil_kwh_th,alpha,lam_comfort,lam_vent,date,lam_dr
96,0,-117.58433348413418,1963.7473189527348,0.0,28.147585679440684,351.9581730985516,0.9716007113456726,1.0,1.0,2026-07-19 00:00:00,0.9127555772777217
192,1,-154.64549156997487,127.84830877926476,0.0,54.03556850378656,396.0674779584147,0.9440546631813049,1.0,1.0,2026-06-17 00:00:00,0.07226526552987678
288,2,0.0,0.0,0.0,0.0,0.0,0.917446494102478,1.0,1.0,2026-07-25 00:00:00,0.5863783547983777
384,3,-130.30990013728461,259.20875104138247,0.0,62.776066257471534,264.17946231492044,0.8915727734565735,1.0,1.0,2026-07-07 00:00:00,0.7084994832867091
480,4,-137.510997302,1008.8889976451521,0.0,32.17903102723561,414.60569147703484,0.8663337230682373,1.0,1.0,2026-07-18 00:00:00,0.8830780014959977
576,5,-143.8970427271313,128.63104932221762,0.0,59.20900156910675,332.7840995797419,0.8418263792991638,0.9098445493943852,0.9098445528069715,2026-07-27 00:00:00,0.5632039958201955
672,6,-144.86007599484483,270.71215322259854,0.0,63.54028936908695,319.19549982687937,0.818060040473938,0.8259000695766092,0.8312181064240391,2026-06-30 00:00:00,0.6426983422873438
768,7,-101.89338560378302,83.73822377687404,4.0,47.50562511767182,212.85014673889648,0.7951005697250366,0.7519708497371165,0.7622877721000902,2026-06-16 00:00:00,0.3395567095887363
864,8,-138.38422314944017,45.27090434480982,2.0,63.83830233730962,291.90142924674524,0.7729107141494751,0.6857086536843398,0.8171467637521197,2026-06-12 00:00:00,0.6387182191618228
960,9,-168.14984265231075,82.36460677297465,0.0,61.373652773195815,420.34690197068556,0.7513335943222046,0.6265765674368192,0.9396935294839176,2026-06-25 00:00:00,0.03050959749016091
1056,10,-135.60290700627834,143.95061226699693,3.0,61.09406991606962,291.13888074946686,0.7302636504173279,0.5741822571865527,1.0648457529934832,2026-07-22 00:00:00,0.7479296517191851
1152,11,-143.77806411316152,120.25894221787257,0.0,64.26641758359281,311.58815285549844,0.70987868309021,0.5279037021915137,1.2765135844465751,2026-05-25 00:00:00,0.3588024741195469
1248,12,-145.9712528574051,105.20834906401612,0.0,63.83403211412801,321.9654761646877,0.6900784969329834,0.48677833012759214,1.496290746647195,2026-07-08 00:00:00,0.8297852952045203
1344,13,0.0,0.0,0.0,0.0,0.0,0.6708177328109741,0.4500413935949847,1.7263371250347248,2026-05-30 00:00:00,0.35340365097167625
1440,14,-149.30953980482226,27.423722216179385,0.0,63.880353616169664,334.6919019980179,0.6521942615509033,0.41691568675220836,1.9724027018122696,2026-05-26 00:00:00,0.8495758596148045
1536,15,-146.53325825185493,99.7505201024766,0.0,60.73845975060345,336.8970319106054,0.6341560482978821,0.3870281001320895,2.2384714952967526,2026-07-01 00:00:00,0.9658636158421577
1632,16,-127.33616793982394,54.32082736800315,40.0,59.22235337000161,266.1417661295448,0.6165788173675537,0.3600924237231086,2.5278532947322683,2026-06-12 00:00:00,0.5521587316062065
1728,17,-123.89033955342423,1935.475070060539,0.0,29.670651280825084,370.9439030364855,0.5996944308280945,0.3356861749113222,3.6678581215085826,2026-07-19 00:00:00,0.49411954449343354
1824,18,0.0,0.0,0.0,0.0,0.0,0.5832598805427551,0.31520422838303574,4.746744338184984,2026-05-23 00:00:00,0.72592052770485
1920,19,0.0,0.0,0.0,0.0,0.0,0.5672513842582703,0.29627564825656943,5.906790475699159,2026-07-12 00:00:00,0.7204619353651508
