settling_steps,min_episode_steps,control_window_steps,n_episodes,estimate,ci_low,ci_high,excludes_assumed,ahu,note
1,2,4,19,0.2152245766471385,0.11873082405818866,0.3411061206482335,True,1,
1,2,8,24,0.25004485049754105,0.16432406809422814,0.35800212766705075,True,1,
1,2,12,24,0.23158785166751927,0.15881245116987883,0.323209902279712,True,1,
1,3,4,17,0.20815263910696105,0.1046514490396023,0.3479727307251991,True,1,
1,3,8,22,0.25300921665418996,0.16094386400155022,0.37170971233280575,True,1,
1,3,12,22,0.23531032220250955,0.15938461011525232,0.33849634442696874,True,1,
1,4,4,10,0.2628749495474071,0.08586396027436317,0.4654937659104006,True,1,
1,4,8,15,0.33626620526200035,0.20274903377132142,0.4757538269823952,True,1,
1,4,12,15,0.2968249767606327,0.19320100377917845,0.40782462639144007,True,1,
1,6,4,7,0.24172989857934984,0.013794034872788127,0.4973446199818678,True,1,
1,6,8,11,0.34661721574859045,0.18235386777789594,0.530226334909612,False,1,
1,6,12,11,0.29953733485972894,0.17215717047867657,0.43392543069688505,True,1,
2,2,4,20,0.31954685352563833,0.20115948120503338,0.48553504602737496,True,1,
2,2,8,22,0.3071064449091711,0.2077697006426818,0.4408217444097395,True,1,
2,2,12,22,0.2914489103103977,0.2021886378474309,0.41213785593066943,True,1,
2,3,4,13,0.4058162670136671,0.22241368648092585,0.620070441466171,False,1,
2,3,8,15,0.3815839661639417,0.24133597239508456,0.52930008514758,False,1,
2,3,12,15,0.3487049994559429,0.238938649724851,0.467104208546883,True,1,
2,4,4,9,0.4394462508089585,0.16742001251060484,0.7332655709585585,False,1,
2,4,8,11,0.4037212981516184,0.2294310677518621,0.5931134263168514,False,1,
2,4,12,11,0.36267351478358406,0.22005322799031685,0.5109182368292927,False,1,
2,6,4,6,0.5001085131492738,0.14885895696297613,0.9035373344118592,False,1,
2,6,8,8,0.4440533623131554,0.23542240568188472,0.6682087092234124,False,1,
2,6,12,8,0.3829651541399514,0.22447037450991475,0.5528311358398184,False,1,
3,2,4,13,0.4804584020551811,0.27624606014274494,0.7481315054358116,False,1,
3,2,8,15,0.45194063007144747,0.2893772293682513,0.642941938902608,False,1,
3,2,12,15,0.41587867352349045,0.2820571750093983,0.5765440875744144,False,1,
3,3,4,9,0.5662179418794089,0.23114795560070175,0.9378399851215228,False,1,
3,3,8,11,0.5143066185630693,0.3013587527014399,0.7525205609528416,False,1,
3,3,12,11,0.46275119393856606,0.2848577331393064,0.6596034072072062,False,1,
3,4,4,9,0.5662179418794089,0.23114795560070175,0.9378399851215228,False,1,
3,4,8,11,0.5143066185630693,0.3013587527014399,0.7525205609528416,False,1,
3,4,12,11,0.46275119393856606,0.2848577331393064,0.6596034072072062,False,1,
3,6,4,5,0.7854323292423981,0.45965633961246627,1.205940393317721,False,1,
3,6,8,7,0.6136077968181732,0.39685461162565794,0.8533986780454508,False,1,
3,6,12,7,0.5182949974842599,0.36986159170363697,0.6855886581176216,False,1,
1,2,4,47,0.12610300799457747,0.0541092047921863,0.1923458944877148,True,2,
1,2,8,47,0.15280380713129374,0.10100251641195522,0.20399666641618822,True,2,
1,2,12,47,0.16536937153602657,0.11976936276950785,0.21247981842364042,True,2,
1,3,4,38,0.14719248415700495,0.07523338427344735,0.21927184712514153,True,2,
1,3,8,38,0.16551335954294794,0.11046239361865041,0.22096488496354616,True,2,
1,3,12,38,0.17919402072106802,0.12987340177533432,0.23173817594966373,True,2,
1,4,4,30,0.13073585955711448,0.05539044427199069,0.2031031789372635,True,2,
1,4,8,30,0.14518979200982868,0.08987529534761404,0.19704727960617002,True,2,
1,4,12,30,0.16018870226055862,0.11690096723072946,0.20613012352658652,True,2,
1,6,4,0,,,,,2,Only 1 paired episodes - too few to estimate.
1,6,8,0,,,,,2,Only 1 paired episodes - too few to estimate.
1,6,12,0,,,,,2,Only 1 paired episodes - too few to estimate.
2,2,4,38,0.24240975152463415,0.16875483802861718,0.3175464894750215,True,2,
2,2,8,38,0.25404560172324236,0.19833897294371094,0.31388177629090697,True,2,
2,2,12,38,0.25638793357019307,0.20331142984132386,0.3134994236369127,True,2,
2,3,4,30,0.22242794643469976,0.14921747733690194,0.2942400104274632,True,2,
2,3,8,30,0.23155621561245326,0.17783436594499996,0.2827162488802269,True,2,
2,3,12,30,0.23545459013375408,0.18990242710102595,0.28380091481604286,True,2,
2,4,4,9,0.13121792234932314,-0.1424278442583082,0.2791007714765696,True,2,
2,4,8,9,0.14931871141896436,-0.0522314533065815,0.2659992903329257,True,2,
2,4,12,9,0.19824848604484785,0.08091155085170902,0.33172551439475423,True,2,
2,6,4,0,,,,,2,Only 1 paired episodes - too few to estimate.
2,6,8,0,,,,,2,Only 1 paired episodes - too few to estimate.
2,6,12,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,2,4,30,0.3271386572980935,0.24677636425349983,0.40534227193677586,True,2,
3,2,8,30,0.33654109967758594,0.2795205607047415,0.3958572507833429,True,2,
3,2,12,30,0.3269019685327888,0.2735576012888188,0.38551612915206157,True,2,
3,3,4,9,0.24652087046271914,-0.008999549829292823,0.4084223028989841,True,2,
3,3,8,9,0.27334073372656886,0.09487734808073844,0.4086442569446378,True,2,
3,3,12,9,0.3168772150719969,0.19453002064555466,0.5189809306850193,False,2,
3,4,4,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,4,8,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,4,12,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,6,4,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,6,8,0,,,,,2,Only 1 paired episodes - too few to estimate.
3,6,12,0,,,,,2,Only 1 paired episodes - too few to estimate.
